idSensor,week,maxTemp,minTemp,rainSum,windSpeed,maxOzone
5707,2020-01-27/2020-02-02,12.8,-1.8,2.4000000000000004,15.5,53.8
5707,2020-02-03/2020-02-09,16.2,-3.6,0.3,40.2,93.2
5707,2020-02-10/2020-02-16,16.9,-0.6,1.2,15.3,89.9
5707,2020-02-17/2020-02-23,16.3,-0.6,4.3,16.6,74.6
5707,2020-02-24/2020-03-01,19.2,-0.5,8.3,34.8,95.3
5707,2020-03-02/2020-03-08,14.9,1.0,66.2,26.2,100.8
5707,2020-03-09/2020-03-15,18.8,2.0,7.3999999999999995,21.2,80.2
5707,2020-03-16/2020-03-22,19.1,2.6,0.8,22.0,107.2
5707,2020-03-23/2020-03-29,17.4,-1.1,8.0,23.4,96.9
5707,2020-03-30/2020-04-05,17.3,-2.1,20.9,25.6,121.8
5707,2020-04-06/2020-04-12,24.0,5.5,0.0,13.2,131.3
5707,2020-04-13/2020-04-19,22.8,5.0,1.6,28.7,118.3
5707,2020-04-20/2020-04-26,22.8,7.4,27.9,18.7,133.2
5707,2020-04-27/2020-05-03,22.5,9.7,33.1,21.2,120.3
5707,2020-05-04/2020-05-10,25.5,10.8,5.4,17.5,156.2
5707,2020-05-11/2020-05-17,21.8,11.5,98.9,29.1,115.0
5707,2020-05-18/2020-05-24,26.3,13.0,10.899999999999999,24.5,153.6
5707,2020-05-25/2020-05-31,24.9,11.9,1.1,23.7,143.6
5707,2020-06-01/2020-06-07,28.7,12.4,89.6,21.1,134.1
5707,2020-06-08/2020-06-14,25.4,11.4,31.7,19.6,110.6
5707,2020-06-15/2020-06-21,29.1,13.0,17.599999999999998,18.8,142.7
5707,2020-06-22/2020-06-28,31.4,17.5,2.1,18.4,172.7
5707,2020-06-29/2020-07-05,30.1,16.9,19.9,14.5,163.5
5707,2020-07-06/2020-07-12,31.7,17.1,16.8,28.4,194.0
5707,2020-07-13/2020-07-19,29.6,16.4,4.3999999999999995,17.7,144.0
5707,2020-07-20/2020-07-26,31.8,15.6,47.5,16.8,141.1
5707,2020-07-27/2020-08-02,35.1,20.0,13.1,17.0,244.4
5707,2020-08-03/2020-08-09,34.5,15.9,16.4,26.3,157.3
5707,2020-08-10/2020-08-16,33.9,19.9,20.6,12.6,161.5
5707,2020-08-17/2020-08-23,31.8,17.9,42.8,16.4,154.8
5707,2020-08-24/2020-08-30,30.0,17.2,111.3,20.2,154.9
5707,2020-08-31/2020-09-06,26.9,13.2,12.4,13.1,163.8
5707,2020-09-07/2020-09-13,28.6,15.6,34.3,16.0,170.6
5707,2020-09-14/2020-09-20,28.4,16.7,1.8,13.0,165.5
5707,2020-09-21/2020-09-27,22.4,6.3,80.10000000000001,34.0,101.3
5707,2020-09-28/2020-10-04,21.0,6.9,88.6,40.3,100.2
5707,2020-10-05/2020-10-11,21.0,8.4,4.6000000000000005,19.2,86.7
5707,2020-10-12/2020-10-18,17.2,3.9,22.400000000000002,20.9,79.5
5707,2020-10-19/2020-10-25,16.4,7.5,20.200000000000003,9.0,64.3
5707,2020-10-26/2020-11-01,16.9,5.6,30.2,23.3,72.8
5707,2020-11-02/2020-11-08,17.5,6.1,5.300000000000001,11.3,64.2
5707,2020-11-09/2020-11-15,16.2,5.2,0.4,11.3,60.5
5707,2020-11-16/2020-11-22,14.4,-1.9,3.9000000000000004,34.9,74.4
5707,2020-11-23/2020-11-29,10.5,-2.3,0.0,10.0,47.0
5707,2020-11-30/2020-12-06,7.0,-1.1,49.6,15.3,23.1
5707,2020-12-07/2020-12-13,8.3,-0.5,51.699999999999996,14.1,50.8
5707,2020-12-14/2020-12-20,9.5,-1.8,9.8,8.4,12.8
5707,2020-12-21/2020-12-27,10.0,-3.8,9.4,29.5,63.7
5707,2020-12-28/2021-01-03,6.9,-6.5,41.4,16.0,53.4
5707,2021-01-04/2021-01-10,5.6,-4.9,16.9,13.4,62.3
5707,2021-01-11/2021-01-17,13.4,-5.2,0.0,16.7,46.5
5707,2021-01-18/2021-01-24,8.0,-4.8,37.9,12.3,10.3
5707,2021-01-25/2021-01-31,10.5,-3.3,10.4,18.6,79.4
5707,2021-02-01/2021-02-07,10.4,-0.3,39.7,15.2,34.8
5707,2021-02-08/2021-02-14,13.1,-5.4,14.700000000000001,24.6,77.4
5707,2021-02-15/2021-02-21,13.1,-5.3,0.7,11.8,75.9
5707,2021-02-22/2021-02-28,18.5,2.6,0.0,16.8,116.3
5707,2021-03-01/2021-03-07,15.0,-0.4,1.7,25.8,105.6
5707,2021-03-08/2021-03-14,15.4,0.4,0.6,30.4,97.2
5707,2021-03-15/2021-03-21,14.5,-0.4,1.1,33.8,99.1
5707,2021-03-22/2021-03-28,17.6,0.7,1.4,23.3,127.6
5707,2021-03-29/2021-04-04,25.5,5.9,0.5,22.8,167.7
5707,2021-04-05/2021-04-11,16.7,2.2,0.4,36.2,106.6
5707,2021-04-12/2021-04-18,13.9,2.8,4.2,16.6,98.6
5707,2021-04-19/2021-04-25,24.4,4.5,0.9,18.9,128.8
5707,2021-04-26/2021-05-02,19.8,9.5,63.4,24.9,93.6
5707,2021-05-03/2021-05-09,22.6,8.6,8.6,23.0,121.2
5707,2021-05-10/2021-05-16,21.5,7.1,28.3,21.3,103.5
5707,2021-05-17/2021-05-23,22.6,9.7,29.099999999999998,22.4,116.4
5707,2021-05-24/2021-05-30,24.3,9.0,13.0,19.1,148.0
5707,2021-05-31/2021-06-06,30.2,14.2,9.2,20.6,155.3
5707,2021-06-07/2021-06-13,35.5,15.6,10.7,18.2,185.1
5707,2021-06-14/2021-06-20,33.0,20.5,4.4,19.7,207.1
5707,2021-06-21/2021-06-27,31.2,15.7,2.1,23.5,175.2
5707,2021-06-28/2021-07-04,32.6,16.7,28.299999999999997,24.6,170.8
5707,2021-07-05/2021-07-11,29.7,15.3,24.4,16.7,155.4
5707,2021-07-12/2021-07-18,31.0,14.1,25.1,24.3,167.5
5707,2021-07-19/2021-07-25,31.3,19.0,34.599999999999994,24.5,180.3
5707,2021-07-26/2021-08-01,28.0,17.1,106.9,18.6,150.8
5707,2021-08-02/2021-08-08,27.0,15.7,46.8,17.2,142.6
5707,2021-08-09/2021-08-15,32.9,17.4,0.3,11.9,210.0
5707,2021-08-16/2021-08-22,31.3,19.3,5.7,30.1,161.0
5707,2021-08-23/2021-08-29,28.5,12.6,6.4,19.0,137.7
5707,2021-08-30/2021-09-05,28.0,15.5,10.799999999999999,13.1,158.1
5707,2021-09-06/2021-09-12,27.9,16.8,0.0,14.0,182.7
5707,2021-09-13/2021-09-19,28.6,14.0,49.300000000000004,22.5,181.2
5707,2021-09-20/2021-09-26,21.6,11.9,0.4,11.8,49.7
5707,2021-09-27/2021-10-03,23.3,13.7,15.0,17.6,102.1
